freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.179e+02,5.460e+01,2.393e+01,4.965e+02
1.6,2.633e+02,1.046e+02,5.066e+01,4.185e+02
3.1,6.726e+01,1.377e+02,4.476e+01,2.498e+02
4.7,4.095e+02,1.144e+02,4.478e+01,5.687e+02
6.2,1.361e+03,8.581e+01,4.203e+01,1.488e+03
7.8,1.921e+03,1.014e+02,4.580e+01,2.069e+03
9.3,2.438e+03,1.099e+02,4.396e+01,2.592e+03
10.9,3.548e+03,1.034e+02,4.066e+01,3.692e+03
12.5,4.910e+03,9.501e+01,4.232e+01,5.047e+03
14.0,6.087e+03,9.489e+01,4.229e+01,6.225e+03
15.6,7.591e+03,1.207e+02,5.196e+01,7.764e+03
17.1,9.661e+03,1.219e+02,5.238e+01,9.836e+03
18.7,1.232e+04,1.217e+02,3.843e+01,1.248e+04
20.2,1.513e+04,1.283e+02,4.633e+01,1.531e+04
21.8,1.806e+04,1.228e+02,5.822e+01,1.824e+04
23.4,2.149e+04,1.180e+02,5.441e+01,2.166e+04
24.9,2.576e+04,1.260e+02,3.926e+01,2.593e+04
26.5,3.096e+04,1.580e+02,4.335e+01,3.116e+04
28.0,3.846e+04,1.812e+02,4.715e+01,3.869e+04
29.6,4.870e+04,2.441e+02,5.845e+01,4.901e+04
31.1,4.756e+04,2.377e+02,7.033e+01,4.787e+04
32.7,4.193e+04,2.049e+02,6.765e+01,4.221e+04
34.3,4.685e+04,2.452e+02,7.552e+01,4.717e+04
35.8,5.821e+04,3.422e+02,9.841e+01,5.865e+04
37.4,7.233e+04,4.479e+02,1.660e+02,7.294e+04
38.9,8.970e+04,6.590e+02,3.433e+02,9.070e+04
40.5,1.129e+05,1.323e+03,6.564e+02,1.149e+05
42.0,1.491e+05,2.652e+03,9.886e+02,1.527e+05
43.6,1.992e+05,4.610e+03,1.669e+03,2.055e+05
45.2,2.490e+05,7.105e+03,4.131e+03,2.602e+05
46.7,3.251e+05,1.293e+04,9.508e+03,3.475e+05
48.3,4.436e+05,2.315e+04,1.604e+04,4.828e+05
49.8,6.427e+05,3.800e+04,1.994e+04,7.007e+05
51.4,1.010e+06,5.873e+04,2.206e+04,1.091e+06
53.0,1.557e+06,9.168e+04,2.260e+04,1.671e+06
54.5,1.751e+06,1.254e+05,2.545e+04,1.902e+06
56.1,1.415e+06,1.279e+05,2.868e+04,1.571e+06
57.6,1.187e+06,1.175e+05,2.816e+04,1.333e+06
59.2,8.428e+05,9.301e+04,2.237e+04,9.581e+05
60.7,4.659e+05,6.407e+04,1.734e+04,5.473e+05
62.3,3.342e+05,5.111e+04,1.491e+04,4.002e+05
63.9,3.156e+05,4.860e+04,1.386e+04,3.781e+05
65.4,2.796e+05,4.409e+04,1.253e+04,3.362e+05
67.0,2.296e+05,3.494e+04,1.026e+04,2.748e+05
68.5,1.986e+05,2.850e+04,8.036e+03,2.351e+05
70.1,1.840e+05,2.954e+04,7.041e+03,2.206e+05
71.6,1.648e+05,3.134e+04,6.040e+03,2.022e+05
73.2,1.459e+05,3.375e+04,5.326e+03,1.850e+05
74.8,1.320e+05,3.612e+04,4.946e+03,1.730e+05
76.3,1.226e+05,3.582e+04,4.379e+03,1.628e+05
77.9,1.071e+05,3.209e+04,3.205e+03,1.424e+05
79.4,9.420e+04,3.619e+04,1.604e+03,1.320e+05
81.0,8.848e+04,4.985e+04,1.115e+03,1.394e+05
82.5,8.119e+04,5.400e+04,3.021e+03,1.382e+05
84.1,7.576e+04,4.696e+04,4.987e+03,1.277e+05
85.7,7.141e+04,3.524e+04,6.142e+03,1.128e+05
87.2,6.417e+04,2.707e+04,5.678e+03,9.692e+04
88.8,5.694e+04,2.448e+04,4.663e+03,8.608e+04
90.3,4.968e+04,2.274e+04,4.014e+03,7.643e+04
91.9,4.368e+04,2.051e+04,3.984e+03,6.817e+04
93.4,3.895e+04,1.829e+04,3.979e+03,6.122e+04
95.0,3.337e+04,1.511e+04,3.356e+03,5.183e+04
96.6,2.606e+04,1.092e+04,2.382e+03,3.936e+04
98.1,1.931e+04,8.116e+03,1.693e+03,2.912e+04
99.7,1.352e+04,6.773e+03,1.386e+03,2.168e+04
101.2,1.001e+04,7.981e+03,1.283e+03,1.927e+04
102.8,8.353e+03,1.004e+04,1.535e+03,1.993e+04
104.3,7.452e+03,1.192e+04,2.166e+03,2.154e+04
105.9,6.861e+03,1.690e+04,2.954e+03,2.671e+04
107.5,7.432e+03,2.204e+04,3.516e+03,3.299e+04
109.0,6.761e+03,2.285e+04,2.968e+03,3.258e+04
110.6,3.999e+03,2.142e+04,1.807e+03,2.722e+04
112.1,5.212e+03,2.950e+04,2.517e+03,3.723e+04
113.7,6.565e+03,4.139e+04,4.011e+03,5.197e+04
115.2,7.761e+03,5.735e+04,5.590e+03,7.070e+04
116.8,8.845e+03,7.218e+04,7.205e+03,8.823e+04
118.4,1.019e+04,7.885e+04,8.572e+03,9.762e+04
119.9,1.247e+04,7.839e+04,9.956e+03,1.008e+05
121.5,1.474e+04,7.435e+04,1.170e+04,1.008e+05
123.0,1.586e+04,7.023e+04,1.389e+04,9.998e+04
124.6,1.674e+04,7.196e+04,1.660e+04,1.053e+05
126.1,1.928e+04,8.021e+04,2.013e+04,1.196e+05
127.7,2.367e+04,9.017e+04,2.501e+04,1.389e+05
129.3,2.978e+04,1.015e+05,3.105e+04,1.623e+05
130.8,3.698e+04,1.058e+05,3.554e+04,1.783e+05
132.4,4.442e+04,9.737e+04,3.284e+04,1.746e+05
133.9,4.722e+04,7.326e+04,2.391e+04,1.444e+05
135.5,5.199e+04,6.241e+04,2.441e+04,1.388e+05
137.1,6.090e+04,5.964e+04,2.894e+04,1.495e+05
138.6,7.227e+04,5.924e+04,3.441e+04,1.659e+05
140.2,8.549e+04,6.035e+04,4.145e+04,1.873e+05
141.7,9.968e+04,6.300e+04,4.938e+04,2.121e+05
143.3,1.105e+05,6.650e+04,5.635e+04,2.333e+05
144.8,1.219e+05,7.083e+04,6.602e+04,2.588e+05
146.4,1.371e+05,7.335e+04,7.852e+04,2.890e+05
148.0,1.545e+05,7.439e+04,9.175e+04,3.206e+05
149.5,1.723e+05,7.493e+04,1.037e+05,3.509e+05
151.1,1.873e+05,7.575e+04,1.140e+05,3.771e+05
152.6,2.056e+05,7.974e+04,1.272e+05,4.125e+05
154.2,2.269e+05,8.642e+04,1.432e+05,4.566e+05
155.7,2.549e+05,9.438e+04,1.641e+05,5.135e+05
157.3,2.868e+05,1.021e+05,1.863e+05,5.751e+05
158.9,3.221e+05,1.116e+05,2.090e+05,6.428e+05
160.4,3.562e+05,1.226e+05,2.317e+05,7.104e+05
162.0,3.704e+05,1.272e+05,2.397e+05,7.374e+05
163.5,3.504e+05,1.199e+05,2.243e+05,6.946e+05
165.1,3.007e+05,1.022e+05,1.919e+05,5.948e+05
166.6,2.380e+05,8.479e+04,1.540e+05,4.767e+05
168.2,1.835e+05,7.186e+04,1.236e+05,3.789e+05
169.8,1.445e+05,6.248e+04,1.007e+05,3.077e+05
171.3,1.148e+05,5.394e+04,8.212e+04,2.508e+05
172.9,1.148e+05,5.568e+04,8.393e+04,2.544e+05
174.4,9.909e+04,5.126e+04,7.559e+04,2.259e+05
176.0,6.803e+04,3.904e+04,5.339e+04,1.605e+05
177.5,4.851e+04,2.951e+04,3.780e+04,1.158e+05
179.1,3.491e+04,2.141e+04,2.594e+04,8.226e+04
180.7,2.834e+04,1.652e+04,1.992e+04,6.478e+04
182.2,2.290e+04,1.377e+04,1.600e+04,5.267e+04
183.8,1.813e+04,1.194e+04,1.298e+04,4.306e+04
185.3,1.437e+04,1.059e+04,1.094e+04,3.591e+04
186.9,1.247e+04,9.864e+03,9.721e+03,3.206e+04
188.4,1.127e+04,9.385e+03,9.146e+03,2.980e+04
190.0,1.129e+04,9.437e+03,9.270e+03,2.999e+04
191.6,1.244e+04,9.751e+03,9.884e+03,3.207e+04
193.1,1.348e+04,9.111e+03,9.814e+03,3.240e+04
194.7,1.404e+04,8.215e+03,9.172e+03,3.143e+04
196.2,1.441e+04,8.240e+03,9.147e+03,3.180e+04
197.8,1.359e+04,7.710e+03,8.567e+03,2.986e+04
199.3,1.268e+04,6.916e+03,7.903e+03,2.750e+04
