freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.036e+00,4.693e+02,1.946e+02,6.709e+02
1.6,2.256e+01,2.751e+02,1.187e+02,4.163e+02
3.1,2.446e+01,3.990e+01,1.336e+01,7.772e+01
4.7,2.570e+01,5.503e+02,1.451e+01,5.905e+02
6.2,3.769e+01,1.478e+03,1.690e+01,1.532e+03
7.8,4.672e+01,1.501e+03,1.612e+01,1.564e+03
9.3,3.057e+01,2.267e+03,1.619e+01,2.314e+03
10.9,2.724e+01,3.412e+03,1.768e+01,3.457e+03
12.5,3.130e+01,4.895e+03,1.667e+01,4.943e+03
14.0,3.860e+01,6.632e+03,1.751e+01,6.688e+03
15.6,3.440e+01,8.697e+03,1.486e+01,8.746e+03
17.1,2.767e+01,1.122e+04,1.439e+01,1.126e+04
18.7,2.786e+01,1.422e+04,1.569e+01,1.426e+04
20.2,2.959e+01,1.785e+04,1.851e+01,1.790e+04
21.8,2.913e+01,2.257e+04,2.565e+01,2.262e+04
23.4,3.413e+01,2.856e+04,4.631e+01,2.864e+04
24.9,3.584e+01,3.657e+04,9.163e+01,3.669e+04
26.5,4.046e+01,4.777e+04,1.971e+02,4.801e+04
28.0,6.436e+01,6.418e+04,4.686e+02,6.472e+04
29.6,9.283e+01,8.798e+04,1.252e+03,8.932e+04
31.1,1.244e+02,1.197e+05,3.010e+03,1.228e+05
32.7,1.071e+02,1.648e+05,8.856e+03,1.738e+05
34.3,1.228e+02,2.176e+05,3.313e+04,2.509e+05
35.8,1.445e+02,2.008e+05,6.148e+04,2.624e+05
37.4,1.054e+02,1.192e+05,6.111e+04,1.805e+05
38.9,1.570e+02,1.010e+05,1.085e+05,2.096e+05
40.5,1.616e+02,1.512e+05,1.479e+05,2.992e+05
42.0,1.588e+02,2.232e+05,1.677e+05,3.910e+05
43.6,3.640e+02,2.867e+05,1.923e+05,4.793e+05
45.2,9.232e+02,4.171e+05,2.520e+05,6.700e+05
46.7,2.022e+03,7.340e+05,4.041e+05,1.140e+06
48.3,3.646e+03,1.254e+06,6.263e+05,1.884e+06
49.8,4.703e+03,1.671e+06,7.229e+05,2.399e+06
51.4,5.492e+03,1.474e+06,5.422e+05,2.022e+06
52.9,7.605e+03,1.047e+06,3.564e+05,1.411e+06
54.5,7.243e+03,7.777e+05,2.786e+05,1.064e+06
56.1,4.646e+03,5.813e+05,2.143e+05,8.003e+05
57.6,4.311e+03,4.363e+05,1.637e+05,6.044e+05
59.2,3.317e+03,3.318e+05,1.261e+05,4.613e+05
60.7,1.476e+03,2.576e+05,9.953e+04,3.586e+05
62.3,7.711e+02,2.160e+05,8.677e+04,3.036e+05
63.8,9.680e+02,1.807e+05,7.562e+04,2.573e+05
65.4,1.613e+03,1.473e+05,5.938e+04,2.083e+05
67.0,1.292e+03,1.249e+05,4.720e+04,1.734e+05
68.5,8.380e+02,1.052e+05,4.100e+04,1.471e+05
70.1,1.624e+03,8.749e+04,3.701e+04,1.261e+05
71.6,3.228e+03,7.632e+04,3.270e+04,1.122e+05
73.2,4.616e+03,7.023e+04,2.897e+04,1.038e+05
74.7,5.497e+03,6.354e+04,2.631e+04,9.534e+04
76.3,5.577e+03,5.633e+04,2.624e+04,8.815e+04
77.9,4.965e+03,4.962e+04,2.770e+04,8.228e+04
79.4,5.005e+03,4.876e+04,2.668e+04,8.045e+04
81.0,6.261e+03,5.674e+04,2.314e+04,8.614e+04
82.5,6.840e+03,6.865e+04,1.925e+04,9.474e+04
84.1,5.531e+03,8.267e+04,1.339e+04,1.016e+05
85.7,3.752e+03,8.636e+04,9.040e+03,9.915e+04
87.2,2.599e+03,8.221e+04,7.718e+03,9.252e+04
88.8,2.122e+03,7.822e+04,8.225e+03,8.857e+04
